"__leidenCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"58","2.4285714285714284","0.0","0.411764705882353","0.0","1","3","false","FOXRED2","3.0","0","1",,"0","0","0","0.6428571428571429","false","0","FOXRED2","0","0.0"
"90","1.8064516129032258","2.9790997532933017E-4","0.5535714285714286","0.8666666666666667","6","2","false","OR9A1P","21.666666666666668","0","6",,"0","0","0","0.9739854318418315","false","0","OR9A1P","4","0.6989247311827957"
"43","1.5","0.01646137087313558","0.6666666666666666","0.6666666666666666","9","2","false","PGA4","11.0","0","9","0","0","0","0","0.9722222222222222","false","0","PGA4","24","0.6111111111111112"
"62","1.7391304347826086","0.012516469038208166","0.5750000000000001","0.4666666666666667","6","2","false","CFAP107","10.333333333333334","0","6","0","0","0","0","0.9678638941398866","false","0","CFAP107","16","0.4492753623188406"
"183","0.0","0.0","0.0","0.0","0","0","true","NKX2-8","0.0","0","0","0","0","0","0","Infinity","false","0","NKX2-8","0","0.0"
"115","1.6923076923076923","0.008044067044067045","0.5909090909090909","0.42857142857142855","8","2","false","C3orf84","12.5","0","8","0","0","0","0","0.9733727810650887","false","0","C3orf84","32","0.4807692307692308"
"67","0.0","0.0","0.0","0.0","0","0","true","PPM1J","0.0","0","0","0","0","0","0","Infinity","false","0","PPM1J","0","0.0"
"5","1.8979591836734695","9.217273200589905E-5","0.5268817204301075","0.7","5","2","false","NPY4R","35.4","0","5","0","0","0","0","0.9812925170068026","false","0","NPY4R","6","0.7224489795918367"
"5","1.8571428571428572","0.0015103120428680884","0.5384615384615384","0.47619047619047616","7","2","false","CYB5RL","25.428571428571427","0","7","0","0","0","0","0.9821428571428572","false","0","CYB5RL","22","0.5189504373177842"
"117","0.0","0.0","0.0","0.0","0","0","true","TBC1D28","0.0","0","0",,"0","0","0","Infinity","false","0","TBC1D28","0","0.0"
"97","1.8","0.0","0.5555555555555556","0.0","1","2","false","CRTC3","5.0","0","1","0","0","0","0","0.8400000000000001","false","0","CRTC3","0","0.0"
"90","1.8387096774193548","1.0240655401945725E-4","0.543859649122807","0.9","5","2","false","UAP1","24.0","0","5","0","0","0","0","0.9729448491155046","false","0","UAP1","2","0.7741935483870968"
"15","1.25","0.8333333333333333","0.8","0.0","3","2","false","NCAPG","1.3333333333333333","0","3","0","0","0","0","0.9166666666666666","false","0","NCAPG","10","0.3333333333333333"
"43","1.8333333333333333","5.027652086475616E-4","0.5454545454545455","0.6666666666666666","3","2","false","PDXDC1","16.0","0","3","0","0","0","0","0.9537037037037037","false","0","PDXDC1","2","0.8888888888888888"
"184","1.0","0.44949494949494956","1.0","0.24242424242424243","14","1","false","JUN","3.6666666666666665","0","13","1","1","1","0","1.0","false","1","JUN","100","0.3055555555555556"
"184","1.8333333333333333","0.0","0.5454545454545455","1.0","2","2","false","TPPP2","9.5","0","2","0","0","0","0","0.9305555555555555","false","0","TPPP2","0","0.7916666666666666"
"145","1.8181818181818181","0.0","0.55","1.0","3","3","false","PECAM1","7.666666666666667","0","3","0","0","0","0","0.9181818181818182","false","0","PECAM1","0","0.7666666666666667"
"172","2.0","0.0","0.5","0.0","1","3","false","ZNF185","2.0","0","1",,"0","0","0","0.5","false","0","ZNF185","0","0.0"
"63","1.2","0.55","0.8333333333333334","0.0","4","2","false","GABPA","1.75","0","4","0","0","0","0","0.95","false","0","GABPA","18","0.75"
"58","2.0","0.047619047619047616","0.5","0.0","2","3","false","CYB5A","3.0","0","2","0","0","0","0","0.75","false","0","CYB5A","4","0.6666666666666666"
"1","1.7179487179487178","0.010446742285033665","0.582089552238806","0.36363636363636365","11","2","false","OR51M1","15.090909090909092","0","11","0","0","0","0","0.9800569800569802","false","0","OR51M1","104","0.38694638694638694"
"115","1.8076923076923077","0.002843822843822844","0.5531914893617021","0.5","5","2","false","MOB2","13.0","0","5","0","0","0","0","0.9689349112426036","false","0","MOB2","10","0.5"
"125","1.0","0.47564102564102567","1.0","0.26373626373626374","14","1","false","CTSK","4.428571428571429","0","14","1","1","1","0","1.0","false","0","CTSK","134","0.3163265306122449"
"125","1.6428571428571428","0.008608058608058609","0.6086956521739131","0.7","5","2","false","CASKIN2","7.2","0","5","0","0","0","0","0.9540816326530612","false","0","CASKIN2","6","0.5142857142857142"
"89","1.65","0.020087719298245613","0.6060606060606061","0.42857142857142855","7","2","false","CTNNA3","8.571428571428571","0","7","0","0","0","0","0.9675","false","0","CTNNA3","24","0.42857142857142855"
"135","2.0","0.0","0.5","0.0","1","3","false","CHPF2","3.0","0","1",,"0","0","0","0.6666666666666666","false","0","CHPF2","0","0.0"
"66","1.75","0.0","0.5714285714285714","0.0","1","2","false","VGLL3","4.0","0","1","0","0","0","0","0.8125","false","0","VGLL3","0","0.0"
"187","1.8888888888888888","0.0","0.5294117647058824","0.0","1","2","false","OOSP4A","9.0","0","1","0",,"0","0","0.9012345679012346","false","0","OOSP4A","0","0.0"
"187","1.0","0.9444444444444444","1.0","0.05555555555555555","9","1","false","BGLAP","1.4444444444444444","0","9","1","1","1","0","1.0","false","0","BGLAP","68","0.2222222222222222"
"51","2.5","0.0","0.4","0.0","1","4","false","RUNDC3B","2.0","0","1","0","0","0","0","0.25","false","0","RUNDC3B","0","0.0"
"188","0.0","0.0","0.0","0.0","0","0","true","OR13C8","0.0","0","0","0",,"0","0","Infinity","false","0","OR13C8","0","0.0"
"141","1.7","0.005555555555555556","0.5882352941176471","0.6666666666666666","3","2","false","RPS6KC1","6.333333333333333","0","3",,"0","0","0","0.93","false","0","RPS6KC1","2","0.6333333333333333"
"189","1.0","0.40384615384615385","1.0","0.21978021978021978","16","1","false","MAPK14","3.857142857142857","0","15","1","1","1","0","1.0","false","1","MAPK14","142","0.2755102040816326"
"189","1.7857142857142858","0.0","0.5599999999999999","1.0","3","2","false","YME1L1","10.666666666666666","0","3","0","0","0","0","0.9438775510204082","false","0","YME1L1","0","0.7619047619047619"
"128","1.7083333333333333","0.007588566827697261","0.5853658536585367","0.5238095238095238","7","2","false","DHRS13","11.714285714285714","0","7","0","0","0","0","0.9704861111111112","false","0","DHRS13","20","0.4880952380952381"
"46","1.84375","9.072580645161291E-4","0.5423728813559322","0.7","5","2","false","ZNF311","16.8","0","5",,"0","0","0","0.9698660714285714","false","0","ZNF311","6","0.525"
"187","1.7777777777777777","0.0","0.5625","1.0","2","2","false","STX16","5.5","0","2","0",,"0","0","0.9135802469135802","false","0","STX16","0","0.6111111111111112"
"1","1.5384615384615385","0.03836687678792941","0.6499999999999999","0.27450980392156865","18","2","false","PMS2","12.333333333333334","0","18","0","0","0","0","0.985042735042735","false","0","PMS2","242","0.3162393162393162"
