"__mcodeCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"8","1.25","0.0","0.8","1.0","5","2","false","MAPK14","3.6666666666666665","0","4","1","1","1","0","0.9375","false","1","MAPK14","0","0.9166666666666666"
"8","1.0","0.16666666666666666","1.0","0.6666666666666666","4","1","false","YME1L1","3.0","0","4","0","0","0","0","1.0","false","0","YME1L1","4","0.75"
,"0.0","0.0","0.0","0.0","0","0","true","DHRS13","0.0","0","0","0","0","0","0","Infinity","false","0","DHRS13","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","ZNF311","0.0","0","0",,"0","0","0","Infinity","false","0","ZNF311","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","STX16","0.0","0","0","0",,"0","0","Infinity","false","0","STX16","0","0.0"
"10","4.171052631578948","0.006140350877192982","0.2397476340694006","0.5","5","9","false","PMS2","5.2","0","5","0","0","0","0","0.7117224880382774","false","0","PMS2","90","0.45454545454545453"
,"0.0","0.0","0.0","0.0","0","0","true","CCKAR","0.0","0","0",,"0","0","0","Infinity","false","0","CCKAR","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","ZNF582","0.0","0","0",,"0","0","0","Infinity","false","0","ZNF582","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","SLC2A11","0.0","0","0","0","0","0","0","Infinity","false","0","SLC2A11","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","ITFG2","0.0","0","0",,"0","0","0","Infinity","false","0","ITFG2","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","RHOBTB3","0.0","0","0","0","0","0","0","Infinity","false","0","RHOBTB3","0","0.0"
"7","1.1666666666666667","0.2222222222222222","0.8571428571428571","0.5","5","2","false","SGCA","3.4","0","5","0","0","0","0","0.9666666666666666","false","0","SGCA","10","0.5666666666666667"
,"0.0","0.0","0.0","0.0","0","0","true","FKBP10","0.0","0","0","0","0","0","0","Infinity","false","0","FKBP10","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","RASGEF1B","0.0","0","0","0","0","0","0","Infinity","false","0","RASGEF1B","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","KAT5","0.0","0","0","0","0","0","0","Infinity","false","0","KAT5","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","PLCZ1","0.0","0","0",,"0","0","0","Infinity","false","0","PLCZ1","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","UBA2","0.0","0","0",,"0","0","0","Infinity","false","0","UBA2","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","AP3B1","0.0","0","0","0","0","0","0","Infinity","false","0","AP3B1","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","GTF2A1L","0.0","0","0","0","0","0","0","Infinity","false","0","GTF2A1L","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","SHC2","0.0","0","0",,"0","0","0","Infinity","false","0","SHC2","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","TMIGD2","0.0","0","0",,"0","0","0","Infinity","false","0","TMIGD2","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","AR","0.0","0","0","1","1","1","0","Infinity","false","0","AR","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","RBL2","0.0","0","0","0","0","0","0","Infinity","false","0","RBL2","0","0.0"
"2","1.8461538461538463","0.0","0.5416666666666666","1.0","2","2","false","GTF2H1","13.0","0","2","0","0","0","0","0.9349112426035503","false","0","GTF2H1","0","1.0"
,"0.0","0.0","0.0","0.0","0","0","true","GPANK1","0.0","0","0","0","0","0","0","Infinity","false","0","GPANK1","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","NCAPH","0.0","0","0",,"0","0","0","Infinity","false","0","NCAPH","0","0.0"
"18","1.0","0.0","1.0","1.0","2","1","false","KCNK13","2.0","0","2","0","0","0","0","1.0","false","0","KCNK13","0","1.0"
"26","4.2272727272727275","0.0","0.23655913978494622","1.0","2","7","false","ADARB2-AS1","2.5","0","2","0",,"0","0","0.3545454545454545","false","0","ADARB2-AS1","0","0.8333333333333334"
,"0.0","0.0","0.0","0.0","0","0","true","MFSD4A","0.0","0","0","0","0","0","0","Infinity","false","0","MFSD4A","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","MSI2","0.0","0","0","0","0","0","0","Infinity","false","0","MSI2","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","KLHL13","0.0","0","0",,"0","0","0","Infinity","false","0","KLHL13","0","0.0"
,"0.0","0.0","0.0","0.0","0","0","true","HELLS","0.0","0","0","0","0","0","0","Infinity","false","0","HELLS","0","0.0"
