"__mclCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"6","2.0816326530612246","0.0","0.48039215686274506","1.0","2","4","false","UTS2R","24.5","0","2",,"0","0","0","0.975417439703154","false","0","UTS2R","0","0.5568181818181818"
"27","1.0","0.861111111111111","1.0","0.1111111111111111","11","1","false","GSK3B","1.8888888888888888","0","10","1","1","1","0","1.0","false","1","GSK3B","64","0.25925925925925924"
"27","1.6666666666666667","0.013888888888888888","0.6","0.6666666666666666","3","2","false","ZNF710","4.333333333333333","0","3","0","0","0","0","0.925925925925926","false","0","ZNF710","2","0.48148148148148145"
"16","1.105263157894737","0.6310916179337231","0.9047619047619047","0.13970588235294118","19","2","false","BCL2","3.3529411764705883","0","18","1","1","1","0","0.9938080495356038","false","1","BCL2","270","0.1903114186851211"
,"0.0","0.0","0.0","0.0","0","0","true","CAPG","0.0","0","0","0","0","0","0","Infinity","false","0","CAPG","0","0.0"
"13","1.9565217391304348","0.0","0.5111111111111111","0.0","1","2","false","EGR3","23.0","0","1",,"0","0","0","0.9584120982986768","false","0","EGR3","0","0.0"
"11","1.0","0.6276410256410255","1.0","0.13230769230769232","28","1","false","TNFSF11","4.3076923076923075","0","27","1","1","1","0","1.0","false","1","TNFSF11","564","0.1762820512820513"
"11","1.7692307692307692","0.011282051282051281","0.5652173913043479","0.4666666666666667","6","2","false","HSP90AA4P","9.166666666666666","0","6","0","0","0","0","0.9704142011834319","false","0","HSP90AA4P","16","0.3525641025641026"
,"0.0","0.0","0.0","0.0","0","0","true","TCEANC","0.0","0","0","0","0","0","0","Infinity","false","0","TCEANC","0","0.0"
"8","1.9411764705882353","8.9126559714795E-4","0.5151515151515151","0.6666666666666666","3","3","false","IGKV2D-30","15.333333333333334","0","3","0",,"0","0","0.9714795008912657","false","0","IGKV2D-30","2","0.46464646464646464"
"11","1.6923076923076923","0.015897435897435894","0.5909090909090909","0.4642857142857143","8","2","false","DCDC2C","9.5","0","8","0","0","0","0","0.9733727810650887","false","0","DCDC2C","30","0.36538461538461536"
"4","2.0","0.0","0.5","0.0","1","3","false","FRMD6-AS1","49.0","0","1",,"0","0","0","0.9795918367346939","false","0","FRMD6-AS1","0","0.0"
"32","1.0","0.75","1.0","0.2","7","1","false","ESR1","1.8","0","6","1","1","1","0","1.0","false","1","ESR1","16","0.4666666666666667"
"32","1.6","0.0","0.625","1.0","2","2","false","TAOK3","4.0","0","2","0","0","0","0","0.8800000000000001","false","0","TAOK3","0","0.8"
"16","2.0","0.0","0.5","1.0","2","3","false","LRFN3","9.5","0","2","0","0","0","0","0.9411764705882353","false","0","LRFN3","0","0.5588235294117647"
