"__mcodeCluster","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","OP_A","OP_B","OP_check","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"15","5.086956521739131","0.08567774936061381","0.19658119658119658","0.0","4","8","false","NCR1","1.25","0","4","0",,"0","0","0.8223062381852551","false","0","NCR1","438","0.25"
"1","2.3","0.39091880341880336","0.4347826086956522","0.12554112554112554","24","5","false","COL5A2","3.6818181818181817","0","23","1","1","1","0","0.9409090909090909","false","1","COL5A2","1664","0.170995670995671"
"1","2.45","0.20758547008547007","0.4081632653061224","0.14166666666666666","16","5","false","RABL6","4.125","0","16","0","0","0","0","0.9340909090909091","false","0","RABL6","1186","0.1793478260869565"
"11","3.3125","0.0","0.3018867924528302","0.0","1","6","false","UTS2R","32.0","0","1",,"0","0","0","0.927734375","false","0","UTS2R","0","0.0"
"14","3.75","0.0","0.26666666666666666","0.0","3","5","false","GSK3B","2.0","0","2","1","1","1","0","0.8804347826086957","false","1","GSK3B","0","0.0"
"6","4.545454545454546","0.0","0.21999999999999997","0.0","1","9","false","ZNF710","4.0","0","1","0","0","0","0","0.8388429752066116","false","0","ZNF710","0","0.0"
"4","3.116883116883117","0.1167401986056242","0.3208333333333333","0.17647058823529413","19","6","false","BCL2","4.294117647058823","0","18","1","1","1","0","0.8754774637127579","false","1","BCL2","1690","0.17647058823529413"
"8","4.6875","0.0","0.21333333333333335","0.0","1","8","false","CAPG","4.0","0","1","0","0","0","0","0.76953125","false","0","CAPG","0","0.0"
"14","2.1785714285714284","0.0","0.459016393442623","0.0","1","4","false","EGR3","23.0","0","1",,"0","0","0","0.9487577639751553","false","0","EGR3","0","0.0"
"15","2.652173913043478","0.6375390736004546","0.3770491803278689","0.039525691699604744","25","6","false","TNFSF11","2.3043478260869565","0","24","1","1","1","0","0.9281663516068054","false","1","TNFSF11","3288","0.08488612836438923"
