Cluster,Size,Density,Internal weight,Boundary weight,Quality,P-value,Members
13,30,0.3011,131.0,136.0,NaN,0.000255529,"TRIM55 PHC2 PSMA4 MAGEB17 MAGEB6B TRAF6 SAMD15 PMS2 CC2D1A C17orf75 RAB24 OR7D2 MITD1 FAM166C ZNF547 MYC CALB2 OR10H4 OR2A7 FILIP1 UCP3 TRIB1 OR51A2 METTL15P1 EFCAB9 OR51M1 OR12D2 OR4K15 OR4X1 ODF3"
14,26,0.3015,98.00,147.0,NaN,0.000293268,"COL5A3 TELO2 PRSS8 KAZN MAMLD1 COX11 UPK1A CROCC2 TTYH1 CNR2 MYH16 LPCAT1 TBCE UBTFL1 FCRL6 THNSL2 SHC2 SHF SLC17A2 KCNK10 CENPL ABCB9 RGL2 SULT1C3 DZIP1 NCR1"
15,27,0.3020,106.0,146.0,NaN,0.000424214,"PSMD12 PDZD4 MAPK11 ERF CARF PPP2CB GTF2H1 ADORA3 NAA16 COL1A2 DDX4 HOXA13 OR9A1P GPR141 HOXD13 STOX2 OIT3 SNAPC3 PUM3 MKRN4P FAM20A UAP1 NAP1L3 HPD ALPK2 CASR SF3A1"
16,17,0.3088,42.00,57.00,NaN,0.00119853,"PRELID2 SINHCAF CHCT1 SYT14P1 TDGF1 TRAV6 PHACTR2 FAM237B SFRP2 IGLV1-36 PDCL2 ARPIN MYCN ARF5 C11orf40 RFPL4AL1 NKX2-8"
17,24,0.3007,83.00,142.0,NaN,0.00127473,"COL5A3 TELO2 KAZN MAMLD1 COX11 NIBAN1 UPK1A CROCC2 FCER1A CNR2 MYH16 LPCAT1 UBTFL1 FCRL6 THNSL2 SHC2 SHF KCNK10 CENPL RGR SLC2A11 PRAMEF19 POC1B NCR1"
18,26,0.3015,98.00,131.0,NaN,0.00133171,"SCAF4 COL3A1 MCAM SULT1E1 SMC1B TNMD LNX2 AADACL4 GLYATL1 AMZ2 ST3GAL3 NUAK2 TMPPE ELAC2 ZNF221 PRKCSH ARHGAP44 ERICH6 C9orf64 OTUD1 GOT1L1 FLYWCH1 POPDC3 HTR1E NOSTRIN RUBCNL"
19,15,0.3429,36.00,28.00,NaN,0.00203888,"CDK5RAP2 TRIM37 TSPYL2 ZNF717 PDE5A CTSK FRMPD4 ICE2 PWWP3A FANCI ARHGAP30 CASKIN2 QRICH2 EPM2AIP1 CARD14"
20,20,0.3000,57.00,125.0,NaN,0.00479703,"COL5A3 TELO2 COX11 CROCC2 TLCD3B MYH16 LPCAT1 UBTFL1 FCRL6 ITFG2 KLHL35 SHC2 SHF LMNTD1 FCN2 IHH KCNK10 UBTFL6 CLEC4M NCR1"
21,19,0.3041,52.00,62.00,NaN,0.00615471,"DCDC2C CTNNA3 HRC KCNK18 RUFY2 ZCCHC8 ZDHHC14 SOBP ARMC2 CCDC183 C6orf118 SOX13 NEIL3 ZNF485 TNFSF11 MIER2 WEE2 STRADA SERPINB10"
22,26,0.3015,98.00,137.0,NaN,0.00794927,"NRG1 PHC2 PSMA4 MAGEB17 MAGEB6B TRAF6 MSI1 ELAVL3 ELAVL2 OR52D1 PMS2 CC2D1A C17orf75 OR7D2 ZNF547 CALB2 OR10H4 OR2A7 FILIP1 UCP3 TRIB1 EFCAB9 GNAT2 OR12D2 OR4K15 ODF3"
23,18,0.3072,47.00,63.00,NaN,0.00796469,"MVD CCT8L1P DCTN1 BCL2 PSMD13 FAM86B2 GCKR CGN LRRC71 CDY1B NPEPL1 RGL4 RNF112 VWA1 REELD1 SLC48A1 CDY2B WNT9A"
24,9,0.4444,16.00,14.00,NaN,0.00845709,"HMMR TPX2 CASP3 ZNF839 DMRTA2 WDR45B TOM1L1 MRTFB SEPTIN5"
25,6,0.5333,8.000,4.000,NaN,0.00873894,"GCGR PCARE C1QL1 IFNLR1 NTRK1 P2RX6"
26,12,0.4091,27.00,22.00,NaN,0.0104056,"DLGAP1 SPEM3 TTC39B ZC3H13 SRC LRRC8E TTC7A RAD54B COL4A4 N4BP2L2 ACOX3 DDIAS"
27,12,0.3485,23.00,19.00,NaN,0.0115672,"SEC23B FGD5 RPS6KC1 LIPK USP35 NHS VTN STON1 THBS4 PFKL PPFIA4 JMY"
28,21,0.3048,64.00,139.0,NaN,0.0117310,"XRCC1 CXCR1 REEP4 SLC35B4 NDUFAF6 ST6GALNAC6 LPAR2 MCHR1 TCTN3 SLC25A4 COL1A1 RBM25 MPPED2 SLC50A1 NPBWR2 DOK5 OR2J1 SYT17 CXCR3 MSTN KCNK13"
29,22,0.3030,70.00,134.0,NaN,0.0168628,"COL5A3 TRIM69 TELO2 PRSS8 KAZN BRDT MAMLD1 UPK1A CNR2 MYH16 TBCE FCRL6 THNSL2 PRAMEF27 SHF KCNK10 CENPL SULT1C3 PRAMEF19 DZIP1 WNT2B NCR1"
30,8,0.6429,18.00,18.00,NaN,0.0183890,"ERCC4 TRIM36 PCDHGA11 KIAA1217 PRR14L ZFR2 CFAP221 PTGS2"
31,9,0.3056,11.00,9.000,NaN,0.0198437,"CTSC GABRB2 RAPGEF4 SEMA4G DEGS2 SLITRK3 COL5A1 FOXRED2 IL1RAPL2"
32,5,0.6000,6.000,4.000,NaN,0.0265867,"USP29 BMP2K TAOK3 ESR1 CNNM2"
33,9,0.3056,11.00,10.00,NaN,0.0344253,"CTSC GABRB2 SEMA4G RUBCN DEGS2 SLITRK3 COL5A1 FOXRED2 IL1RAPL2"
34,9,0.3333,12.00,10.00,NaN,0.0345773,"CLUH PTGS1 TLR5 PAM MANEAL MAGI3 CLCN6 KLHL13 CLCA2"
35,13,0.3077,24.00,48.00,NaN,0.0347534,"C1QL2 CCSER1 COA7 NAA11 SHISAL2B RELA CXorf66 RNF13 OR1M1 PJVK OR51A4 OR6C76 DUSP4"
36,12,0.3030,20.00,21.00,NaN,0.0353106,"SEC23B MAP4K5 FGD5 ABCB7 LIPK USP35 NHS VTN STON1 THBS4 PPFIA4 JMY"
37,14,0.2967,27.00,49.00,NaN,0.0359270,"C1QL2 CCSER1 KRTAP8-1 NAA11 SHISAL2B RELA CXorf66 RNF13 C1orf43 OR1M1 PJVK FGF13 OR51A4 OR6C76"
38,9,0.3056,11.00,10.00,NaN,0.0388194,"CTSC GABRB2 RAPGEF4 SEMA4G SLITRK3 COL5A1 CERS4 FOXRED2 IL1RAPL2"
