uidA,uidB,Predicted Classes,Probability Score,Regression Value,mean_prob_aff,stringdb_check,score_norm,uidA_irefindex,uidB_irefindex,method,Host_organism_taxid,numParticipants,irefindex_check,GeneA,GeneB,OP_A,OP_B,OP_check
Q9UEG4,Q15643,1,0.551219512,0.401554628,0.47638707,0,,,,,,,0,ZNF629,TRIP11,0,0,0
Q9UEG4,Q9ULE3,1,0.52195122,0.401555281,0.46175325,0,,,,,,,0,ZNF629,DENND2A,0,0,0
Q9UEG4,P39023,1,0.72195122,0.401321143,0.561636181,0,,,,,,,0,ZNF629,RPL3,0,0,0
Q9UEG4,Q8WV41,1,0.551219512,0.401554785,0.476387148,0,,,,,,,0,ZNF629,SNX33,0,0,0
P27701,B4DZS4,1,0.551219512,0.401633278,0.476426395,0,,,,,,,0,CD82,TCP11X1,0,0,0
P27701,Q8TC71,1,0.536585366,0.401633435,0.4691094,0,,,,,,,0,CD82,SPATA18,0,0,0
P27701,Q13087,1,0.526829268,0.401633225,0.464231247,0,,,,,,,0,CD82,PDIA2,0,0,0
P27701,Q8IZ40,1,0.551219512,0.401633238,0.476426375,0,,,,,,,0,CD82,RCOR2,0,0,0
Q99742,Q96Q11,1,0.52195122,0.401633239,0.461792229,0,,,,,,,0,NPAS1,TRNT1,0,0,0
P27701,Q8N9B8,1,0.551219512,0.401633233,0.476426373,0,,,,,,,0,CD82,RASGEF1A,0,0,0
P27701,A6H8Y1,1,0.526829268,0.401681478,0.464255373,0,,,,,,,0,CD82,BDP1,0,0,0
P27701,Q8NFC6,1,0.526829268,0.401681389,0.464255329,0,,,,,,,0,CD82,BOD1L1,0,0,0
P27701,P10828,1,0.536585366,0.401633249,0.469109307,0,,,,,,,0,CD82,THRB,0,0,0
P27701,Q5H9J9,1,0.551219512,0.401633281,0.476426397,0,,,,,,,0,CD82,TCP11X2,0,0,0
Q99742,A8MV65,1,0.551219512,0.401633336,0.476426424,0,,,,,,,0,NPAS1,VGLL3,0,0,0
Q99742,O00755,1,0.551219512,0.401633468,0.47642649,0,,,,,,,0,NPAS1,WNT7A,0,0,0
P27701,Q6P9G9,1,0.551219512,0.401633093,0.476426302,0,,,,,,,0,CD82,ZNF449,0,0,0
P27701,P07204,1,0.551219512,0.401554978,0.476387245,0,,,,,,,0,CD82,THBD,0,0,0
Q5U649,P12644,1,0.834146341,0.401371403,0.617758872,0,,,,,,,0,C12orf60,BMP4,0,0,0
Q9NRR6,Q9P2M7,1,0.741463415,0.401491953,0.571477684,0,,Q9NRR6,Q9P2M7,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2,1,INPP5E,CGN,0,0,0
Q9NRR6,Q14966,1,0.741463415,0.401492568,0.571477991,0,,,,,,,0,INPP5E,ZNF638,0,0,0
Q9NRR6,Q7L804,1,0.72195122,0.401308168,0.561629694,0,,Q9NRR6,Q7L804,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2,1,INPP5E,RAB11FIP2,0,0,0
Q5SVS4,A6H8Y1,1,0.526829268,0.401603029,0.464216149,0,,,,,,,0,SLC25A30,BDP1,0,0,0
Q5SVS4,Q8NFC6,1,0.526829268,0.401602965,0.464216117,0,,,,,,,0,SLC25A30,BOD1L1,0,0,0
Q5SVS4,Q5VWK0,1,0.551219512,0.401555003,0.476387258,0,,,,,,,0,SLC25A30,NBPF6,0,0,0
Q5SVS4,Q9UBT2,1,0.526829268,0.40155506,0.464192164,0,,,,,,,0,SLC25A30,UBA2,0,0,0
Q5SVS4,Q32MK0,1,0.551219512,0.401555241,0.476387377,0,,,,,,,0,SLC25A30,MYLK3,0,0,0
Q8TC44,H7BZ55,1,0.52195122,0.401602949,0.461777084,0,,,,,,,0,POC1B,CROCC2,0,0,0
Q8TC44,Q9H3U1,1,0.746341463,0.401393344,0.573867404,0,,,,,,,0,POC1B,UNC45A,0,0,0
Q86YF9,Q6DN72,1,0.551219512,0.401554898,0.476387205,0,,,,,,,0,DZIP1,FCRL6,0,0,0
Q8TC44,O75410,1,0.726829268,0.401321703,0.564075486,0,,,,,,,0,POC1B,TACC1,0,0,0
Q8IX04,Q8N884,1,0.72195122,0.401309178,0.561630199,0,,,,,,,0,UEVLD,CGAS,0,0,0
Q8IX04,Q15648,1,0.526829268,0.401603216,0.464216242,0,,,,,,,0,UEVLD,MED1,0,0,0
Q96RP8,Q08378,1,0.551219512,0.401554826,0.476387169,0,,,,,,,0,KCNA7,GOLGA3,0,0,0
Q96RP8,Q13127,1,0.52195122,0.40160309,0.461777155,0,,,,,,,0,KCNA7,REST,0,0,0
Q96RP8,Q969J2,1,0.526829268,0.401555944,0.464192606,0,,,,,,,0,KCNA7,ZKSCAN4,0,0,0
Q9H714,P14314,1,0.551219512,0.401555041,0.476387277,0,,,,,,,0,RUBCNL,PRKCSH,0,0,0
Q96RP8,Q99727,1,0.551219512,0.401554531,0.476387022,0,,,,,,,0,KCNA7,TIMP4,0,0,0
Q96RP8,Q494V2,1,0.551219512,0.401555512,0.476387512,0,,,,,,,0,KCNA7,CFAP100,0,0,0
Q96RP8,Q8NCX0,1,0.551219512,0.401554531,0.476387021,0,,,,,,,0,KCNA7,CCDC150,0,0,0
Q9H714,Q11203,1,0.551219512,0.401554799,0.476387156,0,,,,,,,0,RUBCNL,ST3GAL3,0,0,0
Q9H714,Q8IVI9,1,0.551219512,0.401555299,0.476387406,0,,,,,,,0,RUBCNL,NOSTRIN,0,0,0
Q6P1K1,Q9P2M7,1,0.551219512,0.401554821,0.476387167,0,,,,,,,0,SLC48A1,CGN,0,0,0
Q6P1K1,Q6PCB0,1,0.551219512,0.40155485,0.476387181,0,,,,,,,0,SLC48A1,VWA1,0,0,0
Q6P1K1,P0C5J1,1,0.551219512,0.401554826,0.476387169,0,,,,,,,0,SLC48A1,FAM86B2,0,0,0
Q6P1K1,Q9P2Y4,1,0.551219512,0.401554855,0.476387184,0,,,,,,,0,SLC48A1,ZNF219,0,0,0
Q6P1K1,Q9Y6F7,1,0.526829268,0.401555255,0.464192262,0,,,,,,,0,SLC48A1,CDY2B,0,0,0
Q6P1K1,Q9UNM6,1,0.526829268,0.401554792,0.46419203,0,,,,,,,0,SLC48A1,PSMD13,0,0,0
Q6P1K1,P40121,1,0.551219512,0.401555132,0.476387322,0,,,,,,,0,SLC48A1,CAPG,0,0,0
Q86YF9,O00322,1,0.526829268,0.401554986,0.464192127,0,,,,,,,0,DZIP1,UPK1A,0,0,0
Q6P1K1,Q9BPX3,1,0.526829268,0.401603029,0.464216149,0,,,,,,,0,SLC48A1,NCAPG,0,0,0
Q6P1K1,Q8N4P6,1,0.526829268,0.401555031,0.464192149,0,,,,,,,0,SLC48A1,LRRC71,0,0,0
Q9H714,Q8NHS2,1,0.551219512,0.401555063,0.476387288,0,,,,,,,0,RUBCNL,GOT1L1,0,0,0
Q6P1K1,Q13148,1,0.526829268,0.40155551,0.464192389,0,,,,,,,0,SLC48A1,TARDBP,0,0,0
Q6P1K1,P53602,1,0.551219512,0.401555302,0.476387407,0,,,,,,,0,SLC48A1,MVD,0,0,0
P47870,Q9NTN9,1,0.526829268,0.401555018,0.464192143,0,,,,,,,0,GABRB2,SEMA4G,0,0,0
Q9H714,O95104,1,0.551219512,0.401554797,0.476387155,0,,,,,,,0,RUBCNL,SCAF4,0,0,0
P47870,Q8WZA2,1,0.551219512,0.40155463,0.476387071,0,,,,,,,0,GABRB2,RAPGEF4,0,0,0
Q9H714,Q15437,1,0.726829268,0.401372452,0.56410086,0,,,,,,,0,RUBCNL,SEC23B,0,0,0
Q4KMZ8,Q3YEC7,1,0.551219512,0.401554986,0.476387249,0,,,,,,,0,NKAIN1,RABL6,0,0,0
Q4KMZ8,Q9UHQ9,1,0.72195122,0.401310233,0.561630726,0,,,,,,,0,NKAIN1,CYB5R1,0,0,0
Q4KMZ8,Q96M43,1,0.551219512,0.401555018,0.476387265,0,,,,,,,0,NKAIN1,NBPF4,0,0,0
Q4KMZ8,Q9H8X9,1,0.551219512,0.401555076,0.476387294,0,,,,,,,0,NKAIN1,ZDHHC11,0,0,0
Q4KMZ8,Q9BWL3,1,0.72195122,0.401415163,0.561683191,0,,,,,,,0,NKAIN1,C1orf43,0,0,0
Q4KMZ8,O00300,1,0.526829268,0.401555213,0.464192241,0,,,,,,,0,NKAIN1,TNFRSF11B,0,0,0
Q4KMZ8,Q9NXH9,1,0.536585366,0.401555085,0.469070225,0,,,,,,,0,NKAIN1,TRMT1,0,0,0
Q4KMZ8,P12532,1,0.52195122,0.40155528,0.46175325,0,,,,,,,0,NKAIN1,CKMT1B,0,0,0
Q4KMZ8,A6H8Y1,1,0.526829268,0.401603145,0.464216207,0,,,,,,,0,NKAIN1,BDP1,0,0,0
Q4KMZ8,Q8NFC6,1,0.526829268,0.401602996,0.464216132,0,,,,,,,0,NKAIN1,BOD1L1,0,0,0
Q4KMZ8,Q8IWR1,1,0.526829268,0.401554798,0.464192033,0,,,,,,,0,NKAIN1,TRIM59,0,0,0
Q4KMZ8,Q9NU63,1,0.536585366,0.401555334,0.46907035,0,,,,,,,0,NKAIN1,ZFP57,0,0,0
Q4KMZ8,Q5VWK0,1,0.551219512,0.4015548,0.476387156,0,,,,,,,0,NKAIN1,NBPF6,0,0,0
Q4KMZ8,Q6P9G9,1,0.551219512,0.401554924,0.476387218,0,,,,,,,0,NKAIN1,ZNF449,0,0,0
Q4KMZ8,Q6NSJ5,1,0.726829268,0.401306372,0.56406782,0,,,,,,,0,NKAIN1,LRRC8E,0,0,0
Q4KMZ8,Q9Y606,1,0.536585366,0.401555251,0.469070309,0,,,,,,,0,NKAIN1,PUS1,0,0,0
Q4KMZ8,Q9UBT2,1,0.551219512,0.401554833,0.476387173,0,,,,,,,0,NKAIN1,UBA2,0,0,0
Q4KMZ8,P07204,1,0.551219512,0.401555009,0.476387261,0,,,,,,,0,NKAIN1,THBD,0,0,0
Q9H714,Q9H2S6,1,0.551219512,0.401554682,0.476387097,0,,,,,,,0,RUBCNL,TNMD,0,0,0
Q9H714,Q86W34,1,0.551219512,0.401554651,0.476387081,0,,,,,,,0,RUBCNL,AMZ2,0,0,0
Q4KMZ8,Q32MK0,1,0.551219512,0.401554802,0.476387157,0,,,,,,,0,NKAIN1,MYLK3,0,0,0
Q4KMZ8,Q16563,1,0.52195122,0.401556482,0.461753851,0,,,,,,,0,NKAIN1,SYPL1,0,0,0
Q8NH49,Q6P1N0,1,0.551219512,0.401554665,0.476387089,0,,,,,,,0,OR4X1,CC2D1A,0,0,0
Q9H714,Q17R89,1,0.526829268,0.401554946,0.464192107,0,,,,,,,0,RUBCNL,ARHGAP44,0,0,0
Q9H714,Q6ZT21,1,0.526829268,0.401555207,0.464192238,0,,,,,,,0,RUBCNL,TMPPE,0,0,0
Q8NH49,Q02297,1,0.551219512,0.401555105,0.476387309,0,,,,,,,0,OR4X1,NRG1,0,0,0
Q8NH49,Q9P2F9,1,0.551219512,0.401633229,0.476426371,0,,,,,,,0,OR4X1,ZNF319,0,0,0
Q8NH49,Q7Z7B0,1,0.551219512,0.401554606,0.476387059,0,,,,,,,0,OR4X1,FILIP1,0,0,0
Q86YF9,Q15813,1,0.551219512,0.401554852,0.476387182,0,,,,,,,0,DZIP1,TBCE,0,0,0
Q8NH49,P0C7V9,1,0.52195122,0.401555387,0.461753303,0,,,,,,,0,OR4X1,METTL15P1,0,0,0
Q8NH49,P09211,1,0.551219512,0.40155544,0.476387476,0,,,,,,,0,OR4X1,GSTP1,0,0,0
Q8NH49,Q969Q5,1,0.52195122,0.401634168,0.461792694,0,,,,,,,0,OR4X1,RAB24,0,0,0
Q8NH49,Q9P1V8,1,0.551219512,0.40155488,0.476387196,0,,,,,,,0,OR4X1,SAMD15,0,0,0
Q8NH49,Q96K58,1,0.536585366,0.401555154,0.46907026,0,,,,,,,0,OR4X1,ZNF668,0,0,0
Q8NH49,O15381,1,0.551219512,0.401554658,0.476387085,0,,,,,,,0,OR4X1,NVL,0,0,0
Q8NH49,P28676,1,0.526829268,0.401634099,0.464231684,0,,,,,,,0,OR4X1,GCA,0,0,0
Q8NH49,Q9BYV6,1,0.551219512,0.401633413,0.476426463,0,,,,,,,0,OR4X1,TRIM55,0,0,0
Q9H714,Q96G74,1,0.526829268,0.40155541,0.464192339,0,,,,,,,0,RUBCNL,OTUD5,0,0,0
Q8NH49,P54278,1,0.551219512,0.40155473,0.476387121,0,,,,,,,0,OR4X1,PMS2,0,0,0
Q8NH49,P60411,1,0.52195122,0.401373497,0.461662358,0,,,,,,,0,OR4X1,KRTAP10-9,0,0,0
Q9H714,Q96T51,1,0.726829268,0.401385085,0.564107177,0,,Q9H714,Q96T51,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2,1,RUBCNL,RUFY1,0,0,0
Q9H714,Q8NDV3,1,0.52195122,0.401603067,0.461777143,0,,,,,,,0,RUBCNL,SMC1B,0,0,0
Q8NH49,Q8IXK0,1,0.526829268,0.401633257,0.464231263,0,,,,,,,0,OR4X1,PHC2,0,0,0
Q9H714,Q15648,1,0.526829268,0.401602988,0.464216128,0,,,,,,,0,RUBCNL,MED1,0,0,0
Q8NCK3,Q9UI47,1,0.526829268,0.401555101,0.464192185,0,,,,,,,0,ZNF485,CTNNA3,0,0,0
Q8NCK3,Q8NEN0,1,0.551219512,0.401555298,0.476387405,0,,,,,,,0,ZNF485,ARMC2,0,0,0
Q9P2K3,Q0VG06,1,0.526829268,0.401555158,0.464192213,0,,,,,,,0,RCOR3,FAAP100,0,0,0
Q9P2K3,Q8IZP0,1,0.72195122,0.401222835,0.561587027,0,,,,,,,0,RCOR3,ABI1,0,0,0
Q9P2K3,Q5VSY0,1,0.726829268,0.401371871,0.56410057,0,,,,,,,0,RCOR3,GKAP1,0,0,0
Q9P2K3,P49756,1,0.52195122,0.401554828,0.461753024,0,,,,,,,0,RCOR3,RBM25,0,0,0
Q9BQI7,P54278,1,0.72195122,0.401308381,0.5616298,0,,,,,,,0,PSD2,PMS2,0,0,0
Q9BQI7,Q8NFC6,1,0.526829268,0.401602985,0.464216127,0,,,,,,,0,PSD2,BOD1L1,0,0,0
Q96MX3,O15381,1,0.746341463,0.401530901,0.573936182,0,,,,,,,0,ZNF48,NVL,0,0,0
Q96MX3,O00512,1,0.551219512,0.401554743,0.476387128,0,,,,,,,0,ZNF48,BCL9,0,0,0
Q96MX3,A0A0B4J271,1,0.551219512,0.401554952,0.476387232,0,,,,,,,0,ZNF48,TRAV12-3,0,0,0
Q96MX3,Q6UX07,1,0.526829268,0.401555202,0.464192235,0,,,,,,,0,ZNF48,DHRS13,0,0,0
Q96MX3,Q96HV5,1,0.551219512,0.401555539,0.476387525,0,,,,,,,0,ZNF48,TMEM41A,0,0,0
Q96MX3,Q14692,1,0.726829268,0.401306567,0.564067917,0,,,,,,,0,ZNF48,BMS1,0,0,0
Q96MX3,Q16586,1,0.536585366,0.401555665,0.469070515,0,,,,,,,0,ZNF48,SGCA,0,0,0
Q96MX3,O75410,1,0.726829268,0.4013065,0.564067884,0,,,,,,,0,ZNF48,TACC1,0,0,0
Q96MX3,A0A096LP01,1,0.551219512,0.401554857,0.476387185,0,,,,,,,0,ZNF48,SMIM26,0,0,0
Q96MX3,P39023,1,0.726829268,0.401321699,0.564075484,0,,,,,,,0,ZNF48,RPL3,0,0,0
Q96PU9,Q6P1N0,1,0.526829268,0.401555001,0.464192135,0,,,,,,,0,ODF3,CC2D1A,0,0,0
Q96PU9,Q9P2F9,1,0.551219512,0.401554768,0.47638714,0,,,,,,,0,ODF3,ZNF319,0,0,0
Q96PU9,Q9P1V8,1,0.526829268,0.401554818,0.464192043,0,,,,,,,0,ODF3,SAMD15,0,0,0
Q96PU9,Q96K58,1,0.551219512,0.401554708,0.47638711,0,,,,,,,0,ODF3,ZNF668,0,0,0
Q96PU9,O15381,1,0.551219512,0.401554906,0.476387209,0,,,,,,,0,ODF3,NVL,0,0,0
Q86YF9,Q5SWL8,1,0.551219512,0.401555089,0.476387301,0,,,,,,,0,DZIP1,PRAMEF19,0,0,0
Q96PU9,P19087,1,0.551219512,0.401555086,0.476387299,0,,,,,,,0,ODF3,GNAT2,0,0,0
Q96PU9,Q96RU8,1,0.551219512,0.401555162,0.476387337,0,,,,,,,0,ODF3,TRIB1,0,0,0
Q96PU9,P54278,1,0.551219512,0.40155471,0.476387111,0,,,,,,,0,ODF3,PMS2,0,0,0
Q96PU9,A8MXT2,1,0.52195122,0.401555256,0.461753238,0,,,,,,,0,ODF3,MAGEB17,0,0,0
Q96PU9,Q12926,1,0.551219512,0.401555655,0.476387584,0,,,,,,,0,ODF3,ELAVL2,0,0,0
Q96PU9,P55916,1,0.526829268,0.401555768,0.464192518,0,,,,,,,0,ODF3,UCP3,0,0,0
Q96PU9,P12429,1,0.551219512,0.401555864,0.476387688,0,,,,,,,0,ODF3,ANXA3,0,0,0
Q96PU9,A0A0J9YX57,1,0.551219512,0.40155504,0.476387276,0,,,,,,,0,ODF3,MAGEB6B,0,0,0
Q96PU9,Q8IXK0,1,0.551219512,0.401554845,0.476387179,0,,,,,,,0,ODF3,PHC2,0,0,0
Q3YEC7,Q8N1B3,1,0.551219512,0.401554809,0.476387161,0,,,,,,,0,RABL6,CCNQ,0,0,0
Q3YEC7,Q8N884,1,0.551219512,0.401555084,0.476387298,0,,,,,,,0,RABL6,CGAS,0,0,0
Q3YEC7,O60684,1,0.551219512,0.401555324,0.476387418,0,,,,,,,0,RABL6,KPNA6,0,0,0
Q3YEC7,Q9H1Z4,1,0.551219512,0.401554928,0.47638722,0,,,,,,,0,RABL6,WDR13,0,0,0
Q3YEC7,Q8NBP5,1,0.551219512,0.401555482,0.476387497,0,,,,,,,0,RABL6,MFSD9,0,0,0
Q3YEC7,P12644,1,0.551219512,0.401554972,0.476387242,0,,,,,,,0,RABL6,BMP4,0,0,0
Q3YEC7,O60218,1,0.551219512,0.401554784,0.476387148,0,,,,,,,0,RABL6,AKR1B10,0,0,0
Q3YEC7,A8MW95,1,0.551219512,0.401555332,0.476387422,0,,,,,,,0,RABL6,BECN2,0,0,0
A8MUL3,Q9BRX8,1,0.52195122,0.401555328,0.461753274,0,,,,,,,0,ADARB2-AS1,PRXL2A,0,0,0
Q3YEC7,Q8TC71,1,0.551219512,0.401555042,0.476387277,0,,,,,,,0,RABL6,SPATA18,0,0,0
Q3YEC7,Q02252,1,0.551219512,0.401555096,0.476387304,0,,,,,,,0,RABL6,ALDH6A1,0,0,0
Q3YEC7,Q96M43,1,0.526829268,0.40155598,0.464192624,0,,,,,,,0,RABL6,NBPF4,0,0,0
Q3YEC7,Q9H8X9,1,0.551219512,0.401554996,0.476387254,0,,,,,,,0,RABL6,ZDHHC11,0,0,0
Q3YEC7,Q14542,1,0.551219512,0.40155559,0.476387551,0,,,,,,,0,RABL6,SLC29A2,0,0,0
Q3YEC7,Q9UEW8,1,0.526829268,0.401555164,0.464192216,0,,,,,,,0,RABL6,STK39,0,0,0
Q3YEC7,Q96R48,1,0.551219512,0.401555172,0.476387342,0,,,,,,,0,RABL6,OR2A5,0,0,0
Q3YEC7,O00300,1,0.551219512,0.401554895,0.476387204,0,,,,,,,0,RABL6,TNFRSF11B,0,0,0
Q3YEC7,Q13084,1,0.551219512,0.401554852,0.476387182,0,,,,,,,0,RABL6,MRPL28,0,0,0
Q3YEC7,Q9H0X4,1,0.551219512,0.40155548,0.476387496,0,,,,,,,0,RABL6,FAM234A,0,0,0
Q3YEC7,Q5T2R2,1,0.551219512,0.401554832,0.476387172,0,,,,,,,0,RABL6,PDSS1,0,0,0
Q3YEC7,P56749,1,0.551219512,0.401554956,0.476387234,0,,,,,,,0,RABL6,CLDN12,0,0,0
Q3YEC7,Q8IZ40,1,0.551219512,0.401555113,0.476387313,0,,,,,,,0,RABL6,RCOR2,0,0,0
Q3YEC7,Q8N9B8,1,0.551219512,0.401555034,0.476387273,0,,,,,,,0,RABL6,RASGEF1A,0,0,0
Q3YEC7,Q15293,1,0.551219512,0.401554742,0.476387127,0,,,,,,,0,RABL6,RCN1,0,0,0
Q3YEC7,Q9Y2A9,1,0.551219512,0.401555108,0.47638731,0,,,,,,,0,RABL6,B3GNT3,0,0,0
Q3YEC7,Q9GZX7,1,0.551219512,0.40155485,0.476387181,0,,,,,,,0,RABL6,AICDA,0,0,0
Q3YEC7,P12532,1,0.551219512,0.401554949,0.47638723,0,,,,,,,0,RABL6,CKMT1B,0,0,0
Q3YEC7,Q6ZMJ4,1,0.551219512,0.401554943,0.476387228,0,,,,,,,0,RABL6,IL34,0,0,0
Q3YEC7,A6H8Y1,1,0.52195122,0.401602882,0.461777051,0,,,,,,,0,RABL6,BDP1,0,0,0
Q3YEC7,Q8NFC6,1,0.52195122,0.401602838,0.461777029,0,,,,,,,0,RABL6,BOD1L1,0,0,0
Q3YEC7,Q8IWR1,1,0.526829268,0.401555105,0.464192187,0,,,,,,,0,RABL6,TRIM59,0,0,0
Q3YEC7,P36957,1,0.726829268,0.401306483,0.564067876,0,,,,,,,0,RABL6,DLST,0,0,0
Q3YEC7,P10828,1,0.551219512,0.401554918,0.476387215,0,,,,,,,0,RABL6,THRB,0,0,0
Q3YEC7,Q9NU63,1,0.551219512,0.401554734,0.476387123,0,,,,,,,0,RABL6,ZFP57,0,0,0
Q3YEC7,Q5VWK0,1,0.526829268,0.401556026,0.464192647,0,,,,,,,0,RABL6,NBPF6,0,0,0
Q3YEC7,Q6P9G9,1,0.526829268,0.401555054,0.464192161,0,,,,,,,0,RABL6,ZNF449,0,0,0
Q3YEC7,Q8NDC0,1,0.551219512,0.401554681,0.476387097,0,,,,,,,0,RABL6,MAPK1IP1L,0,0,0
Q3YEC7,Q9HA72,1,0.526829268,0.401633591,0.46423143,0,,,,,,,0,RABL6,CALHM2,0,0,0
Q3YEC7,Q9UN19,1,0.526829268,0.401555194,0.464192231,0,,,,,,,0,RABL6,DAPP1,0,0,0
Q3YEC7,Q3KPI0,1,0.526829268,0.40163339,0.464231329,0,,,,,,,0,RABL6,CEACAM21,0,0,0
Q3YEC7,Q92187,1,0.526829268,0.401555252,0.46419226,0,,,,,,,0,RABL6,ST8SIA4,0,0,0
Q9NVV5,H7BZ55,1,0.52195122,0.401681351,0.461816285,0,,,,,,,0,AIG1,CROCC2,0,0,0
Q9NVV5,Q8TB24,1,0.52195122,0.401681336,0.461816278,0,,,,,,,0,AIG1,RIN3,0,0,0
Q9NVV5,P47871,1,0.726829268,0.401441911,0.56413559,0,,,,,,,0,AIG1,GCGR,0,0,0
Q9NVV5,Q9BYQ4,1,0.52195122,0.401630106,0.461790663,0,,,,,,,0,AIG1,KRTAP9-2,0,0,0
Q9NVV5,P07204,1,0.726829268,0.401321701,0.564075484,0,,,,,,,0,AIG1,THBD,0,0,0
Q9NVV5,Q9Y4R8,1,0.526829268,0.401554876,0.464192072,0,,,,,,,0,AIG1,TELO2,0,0,0
O75880,Q16891,1,0.780487805,0.40141555,0.590951677,0,,,,,,,0,SCO1,IMMT,0,0,0
P57729,O75167,1,0.536585366,0.401554942,0.469070154,0,,,,,,,0,RAB38,PHACTR2,0,0,0
P57729,Q969X2,1,0.726829268,0.401306804,0.564068036,0,,,,,,,0,RAB38,ST6GALNAC6,0,0,0
P57729,P51608,1,0.834146341,0.40130696,0.617726651,0,,,,,,,0,RAB38,MECP2,0,0,0
Q96NL0,Q13188,1,0.72195122,0.401416563,0.561683891,0,,,,,,,0,RUNDC3B,STK3,0,0,0
P17858,Q99496,1,0.726829268,0.401306953,0.564068111,0,,,,,,,0,PFKL,RNF2,0,0,0
P17858,Q5TB80,1,0.731707317,0.401321222,0.566514269,0,,,,,,,0,PFKL,CEP162,0,0,0
A8MUL3,O75167,1,0.526829268,0.401554706,0.464191987,0,,,,,,,0,ADARB2-AS1,PHACTR2,0,0,0
P17858,P21580,1,0.726829268,0.401372237,0.564100753,0,,,,,,,0,PFKL,TNFAIP3,0,0,0
Q6P1N0,Q8NGK3,1,0.551219512,0.401554788,0.47638715,0,,,,,,,0,CC2D1A,OR52K2,0,0,0
Q6P1N0,Q8NH41,1,0.551219512,0.40155482,0.476387166,0,,,,,,,0,CC2D1A,OR4K15,0,0,0
Q6P1N0,P58182,1,0.551219512,0.401554825,0.476387169,0,,,,,,,0,CC2D1A,OR12D2,0,0,0
Q6P1N0,Q02297,1,0.551219512,0.401554763,0.476387138,0,,,,,,,0,CC2D1A,NRG1,0,0,0
Q6P1N0,Q14203,1,0.72195122,0.401322363,0.561636791,0,,,,,,,0,CC2D1A,DCTN1,0,0,0
Q6P1N0,Q9H341,1,0.551219512,0.401554781,0.476387147,0,,,,,,,0,CC2D1A,OR51M1,0,0,0
Q6P1N0,Q6IEG0,1,0.526829268,0.401554905,0.464192087,0,,,,,,,0,CC2D1A,SNRNP48,0,0,0
Q6P1N0,Q8NGA5,1,0.551219512,0.401554779,0.476387146,0,,,,,,,0,CC2D1A,OR10H4,0,0,0
Q6P1N0,Q8IVP9,1,0.551219512,0.401554631,0.476387071,0,,,,,,,0,CC2D1A,ZNF547,0,0,0
Q6P1N0,P09211,1,0.551219512,0.401554737,0.476387124,0,,,,,,,0,CC2D1A,GSTP1,0,0,0
Q6P1N0,Q9Y371,1,0.551219512,0.40155467,0.476387091,0,,,,,,,0,CC2D1A,SH3GLB1,0,0,0
Q6P1N0,Q5TB80,1,0.72195122,0.401307981,0.5616296,0,,,,,,,0,CC2D1A,CEP162,0,0,0
Q6P1N0,P19087,1,0.551219512,0.401554612,0.476387062,0,,,,,,,0,CC2D1A,GNAT2,0,0,0
Q6P1N0,Q96RU8,1,0.551219512,0.401554577,0.476387045,0,,,,,,,0,CC2D1A,TRIB1,0,0,0
Q6P1N0,O75665,1,0.72195122,0.400786503,0.561368861,0,,,,,,,0,CC2D1A,OFD1,0,0,0
Q6P1N0,Q9H346,1,0.551219512,0.401554888,0.4763872,0,,,,,,,0,CC2D1A,OR52D1,0,0,0
Q6P1N0,Q8TES7,1,0.72195122,0.401309059,0.561630139,0,,,,,,,0,CC2D1A,FBF1,0,0,0
A8MUL3,Q6P1L5,1,0.526829268,0.401554889,0.464192079,0,,,,,,,0,ADARB2-AS1,FAM117B,0,0,0
Q6P1N0,A8MXT2,1,0.551219512,0.401554682,0.476387097,0,,,,,,,0,CC2D1A,MAGEB17,0,0,0
Q6P1N0,Q12926,1,0.551219512,0.401554715,0.476387114,0,,,,,,,0,CC2D1A,ELAVL2,0,0,0
Q6P1N0,P55916,1,0.551219512,0.401554732,0.476387122,0,,,,,,,0,CC2D1A,UCP3,0,0,0
Q6P1N0,Q96RA2,1,0.551219512,0.401554885,0.476387198,0,,,,,,,0,CC2D1A,OR7D2,0,0,0
Q6P1N0,P22676,1,0.526829268,0.401554816,0.464192042,0,,,,,,,0,CC2D1A,CALB2,0,0,0
Q6P1N0,Q96R45,1,0.551219512,0.401554955,0.476387234,0,,,,,,,0,CC2D1A,OR2A7,0,0,0
Q96BP3,Q9UQ72,1,0.551219512,0.40155508,0.476387296,0,,,,,,,0,PPWD1,PSG11,0,0,0
Q96BP3,Q14966,1,0.52195122,0.401602849,0.461777034,0,,,,,,,0,PPWD1,ZNF638,0,0,0
Q96BP3,P0DJD7,1,0.536585366,0.401555036,0.469070201,0,,,,,,,0,PPWD1,PGA4,0,0,0
Q96BP3,P18858,1,0.526829268,0.401555132,0.4641922,0,,,,,,,0,PPWD1,LIG1,0,0,0
Q96BP3,Q15643,1,0.551219512,0.401554828,0.47638717,0,,,,,,,0,PPWD1,TRIP11,0,0,0
Q9UK39,Q9NXH9,1,0.780487805,0.401557259,0.591022532,0,,,,,,,0,NOCT,TRMT1,0,0,0
