uidA,uidB,Predicted Classes,Probability Score,Regression Value,mean_prob_aff,stringdb_check,score_norm,uidA_irefindex,uidB_irefindex,method,Host_organism_taxid,numParticipants,irefindex_check,GeneA,GeneB,OP_A,OP_B,OP_check
A0A2R8YFL7,P02818,1,0.52195122,0.401633198,0.461792209,0,,,,,,,0,OOSP4A,BGLAP,0,1,1
P02461,Q96NL0,1,0.551219512,0.401632951,0.476426232,0,,,,,,,0,COL3A1,RUNDC3B,1,0,1
Q8NGS7,Q9Y4K3,1,0.551219512,0.401633139,0.476426326,0,,,,,,,0,OR13C8,TRAF6,0,1,1
P04004,Q96S38,1,0.551219512,0.401632868,0.47642619,0,,,,,,,0,VTN,RPS6KC1,1,0,1
Q16539,Q96TA2,1,0.551219512,0.401633026,0.476426269,0,,,,,,,0,MAPK14,YME1L1,1,0,1
Q6UX07,Q9UNN8,1,0.526829268,0.401633116,0.464231192,0,,,,,,,0,DHRS13,PROCR,0,1,1
P02461,Q5JNZ3,1,0.551219512,0.401632883,0.476426198,0,,,,,,,0,COL3A1,ZNF311,1,0,1
O14662,P02818,1,0.526829268,0.401633035,0.464231152,0,,,,,,,0,STX16,BGLAP,0,1,1
P54278,Q9Y4K3,1,0.551219512,0.40163305,0.476426281,0,,,,,,,0,PMS2,TRAF6,0,1,1
P02452,P32238,1,0.551219512,0.401633197,0.476426354,0,,,,,,,0,COL1A1,CCKAR,1,0,1
P06401,Q96NG8,1,0.551219512,0.40163308,0.476426296,0,,,,,,,0,PGR,ZNF582,1,0,1
P25940,Q9BYW1,1,0.551219512,0.401632924,0.476426218,0,,,,,,,0,COL5A3,SLC2A11,1,0,1
P25940,Q969R8,1,0.551219512,0.401633067,0.47642629,0,,,,,,,0,COL5A3,ITFG2,1,0,1
O94955,P06401,1,0.551219512,0.401633023,0.476426268,0,,,,,,,0,RHOBTB3,PGR,0,1,1
Q16586,Q9UNN8,1,0.551219512,0.401633112,0.476426312,0,,,,,,,0,SGCA,PROCR,0,1,1
P02452,Q96AY3,1,0.52195122,0.401681144,0.461816182,0,,,,,,,0,COL1A1,FKBP10,1,0,1
P06401,Q0VAM2,1,0.551219512,0.401632978,0.476426245,0,,,,,,,0,PGR,RASGEF1B,1,0,1
P06401,Q92993,1,0.551219512,0.40163292,0.476426216,0,,,,,,,0,PGR,KAT5,1,0,1
