uid,gene,category
Q15038,DAZAP2,Other_Cellular_Proteins
Q15233,NONO,Other_Cellular_Proteins
Q15276,RABEP1,Other_Cellular_Proteins
Q15293,RCN1,Other_Cellular_Proteins
Q15365,PCBP1,Other_Cellular_Proteins
Q15397,PUM3,Other_Cellular_Proteins
Q15437,SEC23B,Other_Cellular_Proteins
Q15459,SF3A1,Other_Cellular_Proteins
Q15485,FCN2,Serum_Proteins
Q15642,TRIP10,Other_Cellular_Proteins
Q15643,TRIP11,Other_Cellular_Proteins
Q15696,ZRSR2,Other_Cellular_Proteins
Q15759,MAPK11,Cellular Enzymes
Q15777,MPPED2,Other_Cellular_Proteins
Q15813,TBCE,Other_Cellular_Proteins
Q16222,UAP1,Other_Cellular_Proteins
Q16539,MAPK14,BDP
Q16563,SYPL1,Other_Cellular_Proteins
Q16586,SGCA,Other_Cellular_Proteins
Q16651,PRSS8,Other_Cellular_Proteins
Q16719,KYNU,Other_Cellular_Proteins
Q16799,RTN1,Other_Cellular_Proteins
Q16891,IMMT,Other_Cellular_Proteins
Q17R89,ARHGAP44,Other_Cellular_Proteins
Q17RF5,ODAPH,Secreted_Factors
Q19AV6,ZSWIM7,Other_Cellular_Proteins
Q1W6H9,FAM110C,Other_Cellular_Proteins
Q2M2D7,TBC1D28,Other_Cellular_Proteins
Q2MV58,TCTN1,Secreted_Factors
Q2TAK8,PWWP3A,Other_Cellular_Proteins
Q2TBA0,KLHL40,Other_Cellular_Proteins
Q2YD98,UVSSA,Other_Cellular_Proteins
Q32M84,BTBD16,Other_Cellular_Proteins
Q32MK0,MYLK3,Cellular Enzymes
Q32NC0,C18orf21,Other_Cellular_Proteins
Q330K2,NDUFAF6,Other_Cellular_Proteins
Q3B7T3,BEAN1,Membrane_Proteins
Q3KNS6,ZNF829,Other_Cellular_Proteins
Q3KPI0,CEACAM21,Membrane_Proteins
Q3KRB8,ARHGAP11B,Other_Cellular_Proteins
Q3SXZ3,ZNF718,Other_Cellular_Proteins
Q3YEC7,RABL6,Other_Cellular_Proteins
Q494V2,CFAP100,Other_Cellular_Proteins
Q4G0U5,CFAP221,Other_Cellular_Proteins
Q4KMZ8,NKAIN1,Other_Cellular_Proteins
Q4VC44,FLYWCH1,Other_Cellular_Proteins
Q53SF7,COBLL1,Other_Cellular_Proteins
Q56NI9,ESCO2,Other_Cellular_Proteins
Q56P03,EAPP,Other_Cellular_Proteins
Q58F21,BRDT,Other_Cellular_Proteins
Q58FG1,HSP90AA4P,Other_Cellular_Proteins
Q58G82,SYT14P1,Other_Cellular_Proteins
Q5C9Z4,NOM1,Other_Cellular_Proteins
Q5CZ79,ANKRD20A8P,Other_Cellular_Proteins
Q5FWF5,ESCO1,Other_Cellular_Proteins
Q5H9J9,TCP11X2,Other_Cellular_Proteins
Q5HYK7,SH3D19,Other_Cellular_Proteins
Q5HYW3,RTL5,Other_Cellular_Proteins
Q5JNZ3,ZNF311,Other_Cellular_Proteins
Q5JQF8,PABPC1L2B,Other_Cellular_Proteins
Q5JR12,PPM1J,Cellular Enzymes
Q5JRM2,CXorf66,Membrane_Proteins
Q5MNV8,FBXO47,Other_Cellular_Proteins
Q5MNZ6,WDR45B,Other_Cellular_Proteins
Q5QNW6,H2BC18,Other_Cellular_Proteins
Q5SQ80,ANKRD20A2P,Other_Cellular_Proteins
Q5SQN1,SNAP47,Other_Cellular_Proteins
Q5SVS4,SLC25A30,Other_Cellular_Proteins
Q5SWL8,PRAMEF19,Other_Cellular_Proteins
Q5T036,FAM120AOS,Other_Cellular_Proteins
Q5T0F9,CC2D1B,Other_Cellular_Proteins
Q5T124,UBXN11,Other_Cellular_Proteins
Q5T200,ZC3H13,Other_Cellular_Proteins
Q5T2R2,PDSS1,Other_Cellular_Proteins
Q5T5N4,C6orf118,Other_Cellular_Proteins
Q5T5P2,KIAA1217,Other_Cellular_Proteins
Q5T5S1,CCDC183,Other_Cellular_Proteins
Q5T6C5,ATXN7L2,Other_Cellular_Proteins
Q5T6V5,C9orf64,Other_Cellular_Proteins
Q5TB80,CEP162,Other_Cellular_Proteins
Q5TCQ9,MAGI3,Cellular Enzymes
Q5TDH0,DDI2,Other_Cellular_Proteins
