uidA,uidB
P25940,Q13371
P25940,Q8N2I2
P02461,Q9Y3B3
O75631,Q04206
O75626,P02751
Q8NGJ4,Q9BQB4
P10451,Q9BXS6
A6NKH3,P43235
P04637,Q6P2C8
O60427,P10415
P05997,Q9BXT5
P05997,Q9UI42
P01258,P48775
P10275,Q9H8U3
O43759,Q04206
P05412,Q9Y5X9
P05997,Q5VW32
P20908,Q76M96
P29474,Q2T9K0
P12524,Q969H9
P02818,Q9P1U1
P10415,P42336
O60676,P01106
P17612,Q8N8N0
P14866,P20908
P02452,Q5F1R6
P41180,Q96EL1
O60763,P35354
O14788,Q9UFC0
Q04206,Q8NEP7
P34972,Q6P9A3
P05412,Q9NY57
P05997,P0DP09
P02751,Q9H1C3
P04004,Q969U7
P20908,Q8IYB9
Q6ZUJ4,Q9Y4K3
P12931,Q86SE9
P49841,Q9Y6X8
P02751,Q9BYH1
P04637,Q9P0K9
O75426,Q04206
P02818,Q9UKU7
P10275,Q96KK4
P12931,Q86XJ0
O75414,P49841
P04004,Q99574
P18075,Q8WW59
P05412,Q1HG44
P12931,P19532
P82650,Q9UNN8
O15120,P28482
P63244,Q04206
P11161,Q16539
P34972,Q14520
P05997,P35070
P41180,Q9BY60
P29474,Q8NGT2
O75935,P05997
O14788,Q8TCZ2
P23219,Q5SSJ5
P09496,P12643
P02461,Q9NZJ7
P19838,Q9Y2Z4
O14788,Q14694
P28482,Q9NUX5
P34972,Q8NGI7
P10275,P47736
P05412,Q8NGY7
P05997,Q96PH6
A6NMS3,P42574
P05412,P51636
P17612,Q9UKZ4
A6NED2,P12524
P06746,P42574
P12931,Q96FV0
P20908,Q5T036
P17612,Q16653
P35354,Q86UP3
P35354,Q8N7X4
P02461,P30044
A7MCY6,P25940
P06401,Q96BZ8
P29474,Q8N136
P34972,Q96Q40
P23219,Q96HH6
Q05469,Q16539
Q0P641,Q9BQB4
O00629,Q04206
A0A075B706,O14788
P17612,Q13547
A0A8I5KY20,P10275
P35354,Q96SW2
P02462,P12524
P04637,Q8WXA8
P08123,Q9Y3C7
P35354,Q9Y5P4
P02452,Q5TFE4
P28482,Q8IY81
P04004,Q5T7R7
P0C7X0,Q16539
P12524,Q96IK0
P12524,Q9H4G4
Q16539,Q6ZV89
P02461,Q08378
P05997,Q9H0A0
P29474,Q5GH73
P18075,Q6NYC1
O43934,P10275
Q5SQI0,Q9Y4K3
P23219,Q9NZP2
P05997,P19652
P31749,Q53FP2
P04637,Q8NGQ2
P25940,Q96B77
P04198,Q70CQ2
P11926,P12524
P23219,Q14439
P05997,Q9UJQ4
P07333,Q96C28
P10415,Q9Y223
P04198,Q9BYG3
P28482,Q7Z3I7
P07333,Q9UQ16
P28482,Q8WZ73
P50443,Q9UNN8
Q04206,Q96IR7
P12643,Q9BRZ2
Q9BQB4,Q9Y5K6
A8MWL6,P08123
P20908,P46783
P20908,Q96BF6
O15287,P35354
A1L3X0,P04637
O15409,Q9Y4K3
P31749,P51788
P31040,P34972
P05997,P41145
P49841,Q9Y234
P12643,P51946
P10275,Q9H2V7
P49841,Q8WUG5
P01258,Q8IXQ8
O15335,P49841
P06401,Q86Y37
Q16539,Q9NP80
P01871,P04004
P03372,Q5VVH5
O95169,P31749
Q9H0W8,Q9UNN8
P03372,Q8N1N2
P28482,Q76N89
A6NGH8,P10275
O75891,P01106
P18075,Q8N122
