uidA,uidB,method,Host_organism_taxid,numParticipants
Q9H5P4,Q13402,"psi-mi:""MI:0096""(pull down)",taxid:9606(Homo sapiens),2
A0A024R6H1,A0A024R277,"psi-mi:""MI:0400""(affinity technology)",taxid:9606(Homo sapiens),2
Q99471,Q9NYS7,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
P12004,O14920,"psi-mi:""MI:0809""(bimolecular fluorescence complementation)",taxid:9606(Homo sapiens),2
Q9BRP4,Q15008,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9BRP4,Q15008,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A0S2Z4A5,P23508,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9Y266,Q86W42,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
P09619,A0A024RD80,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
Q9NYF0-2,Q13547,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P36817,P25106,"psi-mi:""MI:1203""(split luciferase complementation)",taxid:9606(Homo sapiens),2
Q68CZ2,P56945,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q68CZ2,P56945,"psi-mi:""MI:0416""(fluorescence microscopy)",taxid:9606(Homo sapiens),2
Q68CZ2,P56945,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q68CZ2,P56945,"psi-mi:""MI:0416""(fluorescence microscopy)",taxid:9606(Homo sapiens),2
Q01638,Q69FE3,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
E9KL23,P43307,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
E9KL23,P43307,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
E9KL23,P43307,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
E9KL23,P43307,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
E9KL23,P43307,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
E9KL23,P43307,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
E9KL23,P43307,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
E9KL23,P43307,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q6WCQ1,O14974,"psi-mi:""MI:0096""(pull down)",taxid:9606(Homo sapiens),2
Q01105,Q12778,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q01105,Q12778,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q01105,Q12778,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9UJV9,D3DU92,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R8H5,A0A024RD80,"psi-mi:""MI:0676""(tandem affinity purification)",taxid:9606(Homo sapiens),2
A0A024R8H5,A0A024RD80,"psi-mi:""MI:0813""(proximity ligation assay)",taxid:9606(Homo sapiens),2
P36578,Q08257,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
Q9NX58,Q13347,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q01433,P23258,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
A0A140VKE7,P62330,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P15923,Q02363,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P15923,Q02363,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R9G7,G4XH65,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R9G7,G4XH65,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O00422,Q6NXE6,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A2X0TW27,Q9ULR3,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
Q15714,Q16531,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O43395,O43395,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
O43395,O43395,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9H270,Q8WUH2,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P07814,Q16695,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
P03129,B3KUN1,"psi-mi:""MI:0019""(coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P03129,B3KUN1,"psi-mi:""MI:0019""(coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q5T7Y6,P25815,"psi-mi:""MI:1203""(split luciferase complementation)",taxid:9606(Homo sapiens),2
Q5T7Y6,P25815,"psi-mi:""MI:1203""(split luciferase complementation)",taxid:9606(Homo sapiens),2
O75688,A0A384MEF1,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q14164,Q13263,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R904,Q92925,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
B1AK66,A0A384NKX5,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
O14905,Q14202,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
A0A024R9G7,Q9Y6Q9,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
A0A024R9G7,Q9Y6Q9,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P00533,P30307,"psi-mi:""MI:0112""(ubiquitin reconstruction)",taxid:9606(Homo sapiens),2
P29590-8,P03255,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9NWS9-2,A0A804HJ42,"psi-mi:""MI:0231""(mammalian protein protein interaction trap)",taxid:9606(Homo sapiens),2
Q13418,Q549N5,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P33991,P11274,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
Q96S53,Q9UPQ3,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
O14734,P04601,"psi-mi:""MI:0096""(pull down)",taxid:9606(Homo sapiens),2
Q9Y2K2,Q56VL3,"psi-mi:""MI:0030""(cross-linking study)",taxid:9606(Homo sapiens),2
A0A0S2Z391,P61160,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
B4DJ51,A0A024R882,"psi-mi:""MI:2222""(inference by socio-affinity scoring)",taxid:9606(Homo sapiens),2
P23771,Q9UQL6,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P23771,Q9UQL6,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P23771,Q9UQL6,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P23771,Q9UQL6,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q53HY9,Q96BE0,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
Q59GL9,Q8IVD9,"psi-mi:""MI:0729""(luminescence based mammalian interactome mapping)",taxid:9606(Homo sapiens),2
Q08170,P61981,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
P35080,E5FQ95,"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9C0F3,O43463,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
Q9C0F3,O43463,"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)",taxid:9606(Homo sapiens),2
